"age","metallicity","velocity","Rgal","zgal","ecc"
2.96,-0.31,10.677,7.991,0.041,0.05
2.47,0.25,58.447,8.019,-0.011,0.15
2.85,0.03,11.576,7.996,-0.034,0.02
3.16,0.3,49.254,7.95,0.039,0.11
5.41,-0.16,14.457,8.061,0,0.04
1.84,0.05,37.643,8.017,0.055,0.08
0.93,0.13,51.284,7.934,-0.029,0.1
2.32,0.12,23.022,7.997,0.016,0.05
9.36,0.07,41.485,7.955,-0.073,0.15
5.6,-0.08,26.889,7.931,-0.053,0.05
1.32,-0.09,28.178,7.965,-0.017,0.11
11.44,-0.46,110.644,7.973,-0.005,0.41
3.53,0.1,28.931,8.025,0.017,0.08
2.55,0.21,50.369,7.998,0.123,0.14
1.96,0,30.381,7.992,-0.082,0.07
1.78,0.04,27.677,8.017,-0.069,0.11
2.78,0.19,43.023,8.09,0.062,0.06
3.84,-0.05,41.024,7.936,-0.022,0.02
1.04,0.03,11.045,7.943,-0.078,0.02
4.58,0.15,14.142,7.945,-0.047,0.02
2.29,-0.07,28.036,7.945,0.019,0.09
3.45,-0.17,34.293,8.027,-0.038,0.04
0.84,-0.01,36.069,8.026,0.042,0.07
2.65,0.13,30.822,8.002,0.034,0.05
1.34,-0.02,26.552,7.999,0.027,0.1
3.3,-0.05,44.822,8.042,0.021,0.12
2.97,0.12,21.024,7.97,-0.007,0.05
10.2,-0.05,95.467,8.036,-0.02,0.34
3.07,0.14,11.446,8.057,-0.003,0.03
6.23,0.11,35.861,8.037,0.046,0.09
3.82,0.11,57.602,8.047,-0.062,0.12
1.82,-0.18,34.015,8.023,-0.009,0.11
4.06,-0.05,30.757,8.062,0.023,0.04
4.25,0.26,24.779,8.005,-0.051,0.06
1.47,-0.04,24.062,8.083,0.001,0.1
2.46,-0.08,45.321,7.968,-0.063,0.11
3.72,0.14,87.96,7.97,0,0.26
2.03,0.01,61.62,8.022,-0.081,0.21
2.95,-0.16,48.508,8.055,0.04,0.17
1.77,0.2,36.905,8.032,-0.015,0.09
2.36,-0.13,44.922,8.001,0.084,0.16
2.94,-0.09,21.656,7.962,0.018,0.06
4.29,-0.12,63.569,8.002,-0.054,0.21
1.7,0.15,40.951,8,0.087,0.09
3.39,-0.01,42.872,8.041,-0.021,0.1
3.25,-0.16,108.761,7.951,-0.047,0.27
2.52,-0.23,24.269,8.026,0,0.04
4.46,0.11,51.546,8.004,-0.07,0.15
0.89,0.08,27.276,8.002,0.023,0.07
2.28,-0.13,26.019,7.958,0.049,0.05
0.91,-0.3,10.724,7.963,-0.022,0.04
2.3,-0.03,18.493,7.987,0.009,0.01
4.24,-0.03,61.106,7.99,0.05,0.15
13.17,-1.25,98.066,7.947,-0.02,0.18
2.04,0.15,65.123,7.972,-0.076,0.19
3.99,-0.29,69.051,8.045,0.042,0.17
1.67,0.09,19.95,7.995,-0.017,0.05
3.49,-0.24,36.069,7.992,0.023,0.08
4.22,-0.1,27.092,7.942,-0.017,0.1
2.17,-0.24,26.777,8.034,-0.049,0.11
2.39,0.14,42.059,8.097,0.047,0.16
6.48,-0.21,25.397,7.951,-0.032,0.03
2.29,0.11,31.686,7.94,-0.009,0.05
3.58,0,51.711,8.019,-0.009,0.13
6.53,-0.13,79.687,7.988,0.036,0.23
4.97,-0.03,57.437,7.99,0.027,0.18
2.32,-0.03,41.689,8.002,0.013,0.09
0.52,0.09,32.265,8.01,0.043,0.07
2,0.02,28.284,8.037,-0.237,0.05
3.17,-0.08,56.471,8.065,0.048,0.17
1.73,0.12,18.894,7.923,0.005,0.03
2.24,0.01,41.497,8.023,-0.018,0.16
2.99,0,25.456,8.073,0.043,0.06
2.76,0.09,33.437,7.975,0.054,0.09
0.89,-0.13,25.69,7.966,0.028,0.07
1.38,0.1,54.166,7.985,0.037,0.13
1.87,0.06,47.138,7.968,-0.048,0.11
1.63,-0.12,35.057,7.997,-0.033,0.09
2.66,0.18,35.903,7.983,-0.04,0.09
1.94,-0.16,46.163,7.968,0.02,0.1
1.21,0.41,34.986,7.913,0.013,0.11
2.1,0.26,24.88,7.965,-0.074,0.07
8.5,0.07,56.745,7.969,-0.034,0.14
2.29,-0.31,28.792,8.022,0.094,0.09
2.34,0.4,19.672,7.994,0.079,0.01
10.55,-0.23,120.258,8.015,0.013,0.32
2.51,0.23,9.644,8.048,-0.012,0.01
2.82,-0.03,35.057,7.97,0.018,0.13
1.97,-0.1,57.21,7.99,0.007,0.12
2.12,0.16,47.896,7.981,0.035,0.11
2.2,0.11,33.941,7.972,0.106,0.09
2.88,0.04,17.578,7.973,-0.014,0.06
2.03,0.25,27.166,8.076,0.006,0.05
2.93,-0.01,39.812,8.025,-0.013,0.09
1.48,-0.19,45.902,7.996,0.05,0.15
1.88,0.07,34.54,7.959,-0.035,0.11
8.94,-0.06,35.735,7.994,-0.002,0.07
1.39,0.35,26.42,7.97,0.054,0.08
2.68,0,48.888,7.954,0.029,0.06
2.83,0.11,71.372,8.033,-0.017,0.2
2.92,-0.08,25.71,8.016,-0.018,0.03
8.71,-0.28,17.117,7.988,0.083,0.01
2.87,-0.08,71.903,8.058,-0.008,0.21
7.74,-0.19,33.437,8.044,0.018,0.13
2.59,0.01,16.583,8.02,-0.044,0.06
2.54,-0.1,63.063,8.004,0.081,0.21
2.77,-0.05,51.468,7.999,-0.044,0.1
2.12,0.02,14.595,8.006,0.03,0.05
1.2,0.36,27.857,8.003,0.052,0.08
1.21,-0.4,28.583,7.941,-0.043,0.07
2.56,0.19,34.771,8.02,-0.061,0.08
4.2,-0.44,17.916,8.051,0.025,0.1
11.46,-0.97,306.299,8.039,0.072,0.61
1.11,0.17,18.028,8.052,-0.088,0.06
1.91,-0.16,20.712,7.989,-0.046,0.02
2.35,-0.08,43.116,7.925,-0.06,0.08
2.98,-0.07,59.649,7.978,0.031,0.16
0.71,0.01,24.658,7.998,-0.044,0.06
5.59,-0.27,66.94,7.996,-0.041,0.2
1.9,-0.03,33.615,8.037,0.023,0.08
1.89,0.03,40.608,7.955,-0.043,0.14
2.41,-0.4,54.827,8.022,-0.052,0.19
2.49,0.28,22.361,8.062,-0.02,0.02
1.99,0.34,46.583,7.981,-0.012,0.17
1.98,0.1,42.249,7.979,0.04,0.14
9.61,-0.14,72.925,8.019,-0.029,0.26
2.56,0.02,53.796,8,0.013,0.19
2,0.1,24.249,8.046,-0.029,0.08
3.57,-0.29,42.485,7.974,0.005,0.06
1.75,-0.03,32.265,7.992,-0.115,0.13
4.62,0.16,90.056,7.962,-0.005,0.3
1.62,-0.06,11,8.053,0.024,0.05
1.62,0.43,30.232,8.027,0.104,0.09
3.5,0.12,35.44,8.057,-0.034,0.09
8.52,0.05,22.716,7.932,-0.009,0.05
4.22,0.05,85.499,8.04,0.036,0.27
1.81,-0.03,30.381,7.99,0.042,0.08
3.57,0,43.359,8.061,-0.068,0.14
4.61,-0.11,23.601,7.998,-0.086,0.06
2.06,0.03,36.932,7.991,-0.034,0.07
2.36,0.06,45.321,8.009,0.016,0.1
9.3,0.02,51.624,7.984,0.02,0.15
2.34,0.12,65.75,7.941,0.026,0.23
1.69,-0.08,13.928,8.061,0.056,0.08
2.16,-0.2,5.831,7.998,-0.048,0.02
3.85,-0.21,79.48,7.977,-0.03,0.22
2.98,-0.04,29.479,7.98,0.098,0.05
4.46,0.15,72.374,8.069,-0.014,0.24
2.22,0.04,22.583,7.932,-0.088,0.02
1.44,0.12,17.833,7.916,-0.015,0.05
2.73,-0.29,170.024,8.033,-0.047,0.74
1.47,0.07,23.152,7.944,0.019,0.06
1.67,0.09,43.977,8.032,0.006,0.1
1.75,-0.06,47.812,7.984,0.073,0.15
2.78,-0.05,29.799,7.998,-0.016,0.1
1.9,0.18,45.288,8.028,-0.022,0.1
3.91,0.16,121.153,8.033,0.003,0.26
2.74,-0.17,34.147,7.942,-0.035,0.08
3.29,-0.27,68.906,8.023,-0.032,0.21
0.66,-0.04,11.446,8.052,-0.024,0.02
2.69,-0.02,16.583,8.034,0.105,0.07
5.1,0.17,21.656,8.012,0.014,0.07
2.83,0.03,85.639,7.977,-0.016,0.22
9.4,0.04,65.81,8.013,-0.01,0.22
1.64,0.06,39.408,7.957,-0.029,0.09
4.12,0.1,30.676,8.007,-0.061,0.08
1.71,0.08,37.242,8.071,-0.014,0.08
4.73,-0.4,68.775,8.025,0.01,0.26
10.67,-0.51,65.46,7.98,0.025,0.23
2.96,-0.06,36.139,8.016,-0.013,0.09
3.5,0.07,61.782,7.949,-0.062,0.07
2.75,-0.28,79.082,8.012,0.039,0.21
2.68,-0.1,60.092,7.994,-0.038,0.2
3.69,0.07,42.249,7.976,-0.09,0.15
7.8,0.14,51.196,7.976,0.039,0.18
1.81,0.25,54.9,8.012,-0.009,0.17
5.43,0.08,67.654,7.992,0.008,0.14
2.07,0.07,73.11,7.943,0.059,0.19
2.95,0.08,17.464,8.011,-0.006,0.08
3.2,0.04,37.55,7.965,-0.068,0.09
1.25,0.19,10.817,7.946,0.021,0.03
3.04,0.19,42.814,7.99,-0.017,0.1
1.67,-0.04,22.361,8.017,0.035,0.06
3.03,-0.14,76.688,8.01,-0.067,0.2
2.04,0.04,65.544,7.904,0.016,0.17
3.38,0.31,41.881,8.02,-0.012,0.09
3.67,0.22,81.043,7.996,0.058,0.23
1.42,0.03,29.479,8.026,-0.022,0.08
2.29,0.21,53.104,7.99,-0.058,0.12
3.19,-0.26,46.098,8.022,-0.086,0.17
1.86,-0.02,14.595,7.974,-0.005,0.03
2.12,0.2,10.77,8.035,0.002,0.05
2.58,-0.13,30.48,7.943,-0.031,0.09
4.67,-0.32,30.496,7.988,-0.057,0.13
1.93,-0.2,28.862,7.969,0.002,0.1
13.5,-0.19,19.261,8.002,-0.004,0.09
2.94,0.13,26.552,7.979,0.025,0.11
1.59,0.2,29.547,7.966,-0.032,0.09
1.42,-0.14,14.177,8.007,-0.05,0.06
8.69,0.03,44.788,8.027,0.058,0.07
3.94,-0.39,64.815,8.049,0.04,0.15
2.53,-0.11,27.386,7.959,-0.009,0.04
8.09,-0.04,78.524,7.927,0.004,0.12
4.39,-0.27,30.48,7.945,0.014,0.1
2.28,-0.24,58.352,7.975,0.023,0.19
2.73,-0.08,44.43,8.015,-0.04,0.16
5.75,-0.17,27.221,7.986,0.056,0.05
3.11,-0.06,36.042,7.969,-0.024,0.13
1.74,0.18,44.249,7.969,-0.004,0.14
2.32,0.05,45.177,8.094,0.015,0.08
2.28,0.06,67.668,7.941,0.043,0.23
2.73,-0.06,36.414,7.943,-0.051,0.07
4.04,-0.08,50.498,7.996,-0.02,0.12
7.56,-0.03,102,8.038,0.048,0.33
1.66,0.07,17.234,8.026,0.116,0.06
4.1,0.16,34.843,8.017,-0.053,0.11
8.21,0.1,72.677,8.036,0.021,0.19
2.41,-0.03,38.393,8.033,-0.014,0.08
3.49,-0.14,32.078,8.016,-0.03,0.09
1.62,0.24,10.863,8.01,0.07,0.04
2.88,0,21.378,7.937,-0.061,0.1
1.51,-0.4,39.611,7.982,-0.003,0.11
13.42,-1.69,361.476,7.952,0.032,0.93
2.96,0.09,17.493,8.008,0.03,0.08
2.49,0.16,48.021,8.068,-0.146,0.14
2.82,0.18,78.166,7.985,-0.033,0.25
2.01,0.01,30.773,8.012,-0.056,0.1
4.59,-0.03,15.166,7.977,0.007,0.07
6.04,0.07,37.175,8.028,-0.061,0.06
1.46,0.15,44.011,7.929,-0.012,0.16
2.02,0.11,28.178,8.078,-0.059,0.11
4.52,0,34.569,7.926,-0.004,0.13
5.94,-0.02,48.847,8.016,-0.032,0.14
2.21,-0.39,32.65,8.016,-0.006,0.1
1.39,0.26,27.331,7.976,-0.005,0.01
2.35,-0.05,14.9,8.052,0.094,0.05
2.74,0.42,12.806,7.979,0.034,0.02
1.95,-0.01,27.568,8.023,0.099,0.06
2.9,0.11,20.025,7.97,0.025,0.03
2.49,0.08,34.496,8.034,0.02,0.08
2.82,0.19,60.208,7.965,-0.115,0.23
1.73,-0.02,68.659,8.098,0.021,0.18
1.44,0.15,41.304,7.923,-0.062,0.14
3.27,0.28,42.237,8.062,0.051,0.09
1.77,0.14,19.672,8,0.063,0.07
4.22,0.12,54.406,8.036,-0.015,0.18
3.37,-0.03,13.153,8.044,-0.046,0.05
6.1,-0.08,33.377,8.017,0.017,0.12
2.33,-0.01,68.949,7.962,-0.081,0.16
2.51,0.02,43.795,8.076,-0.015,0.14
6.77,-0.29,79.076,7.986,0.03,0.25
2.13,0.05,15.395,8.056,-0.001,0.02
1.88,0,48.58,8.07,-0.005,0.11
7.73,-0.13,24.88,8.004,-0.052,0.07
3.41,0.24,55.353,7.992,-0.015,0.17
2.01,0.05,45.978,8.12,0.028,0.16
4.02,-0.29,34.986,7.989,0.005,0.07
2.01,0.15,37.815,7.932,-0.084,0.13
1.72,-0.17,16.673,7.993,-0.1,0.09
4.19,-0.01,78.051,7.931,-0.013,0.11
1.74,0.09,19.621,7.994,-0.007,0.05
1.76,0.22,23.022,8.032,-0.037,0.04
2.36,0.17,42.356,7.929,0.062,0.08
2.16,0.03,32.296,7.97,-0.101,0.11
2.1,0.07,60.025,8.033,-0.092,0.15
1.94,0.21,53.638,7.999,0.048,0.13
1.47,0.08,22.76,7.972,0.042,0.02
2.08,0.13,40.112,7.948,-0.016,0.08
2.76,0.2,40.509,8.026,-0.049,0.11
3.4,-0.21,53.235,7.989,0.006,0.14
1.66,0.11,40.645,7.963,-0.031,0.14
1.73,0.32,38.678,7.958,-0.016,0.08
1.89,-0.01,55.299,7.987,0.058,0.16
1.86,0.07,53.188,7.97,-0.005,0.16
3.08,0.04,75.928,8.011,0.057,0.17
3.68,0.33,32.14,7.971,0.047,0.08
2.74,-0.1,54,8.035,-0.076,0.14
2.73,0.01,47.255,8.059,-0.016,0.11
1.44,0.18,14.318,7.992,-0.089,0.08
2.77,0.01,41.917,8.024,-0.061,0.09
3.36,0.05,33.437,7.999,-0.025,0.11
3.51,0.32,44.317,8,-0.016,0.1
2.23,0.16,56.903,7.946,-0.009,0.19
1.42,-0.17,17.205,8.045,-0.01,0.08
3.78,-0.25,29.631,7.97,-0.046,0.07
3.81,-0.4,39.051,7.961,0.043,0.08
3.68,0.22,56.798,7.963,0.028,0.14
1.62,-0.06,14.731,8.025,-0.003,0.05
2.9,-0.03,20.881,8.066,-0.087,0.05
2.8,0.01,45.497,8.092,-0.028,0.12
3.46,0.05,18.493,8.053,-0.035,0.03
1.41,0.23,64.73,8.083,0.062,0.22
1.3,0.34,46.658,8.025,-0.112,0.12
2.95,-0.17,25.962,8.092,0.025,0.03
2.81,0.19,66.438,8.052,0.003,0.22
