"longseq","regne","repliement","isoelec","poidsmol","hydro","genre"
124,"Viridiplantae","-0.1406993","6.1399999","12735.6201","-1.1048387","Lophopyrum"
213,"Viridiplantae","-0.0979034","9.5600004","21822.9004","-1.0361502","Hordeum"
742,"Metazoa","0.0371885","7.9699998","83297.4922","-0.6428571","Polypedilum"
134,"Viridiplantae","-0.1032726","9.3500004","14892.8203","-1.0417910","Arabidopsis"
218,"Viridiplantae","0.1226223","4.6599998","22583.3105","-0.2655963","Arabidopsis"
181,"Viridiplantae","0.3440439","10.3100004","19519.3105","0.4563536","Glycine"
643,"Viridiplantae","-0.0234918","6.0500002","67887.3438","-0.8161742","Glycine"
109,"Viridiplantae","-0.1094781","8.7299995","11372.0303","-1.1045872","Corylus"
87,"Viridiplantae","-0.0661593","6.6199999","9132.2598","-0.9942529","Corylus"
137,"Viridiplantae","-0.2850595","6.6199999","15092.5000","-1.6072993","Citrus"
165,"Viridiplantae","0.0330177","6.1300001","19001.8809","-0.6345455","Hordeum"
146,"Viridiplantae","-0.1488050","10.0500002","15129.8496","-1.1506850","Hordeum"
183,"Viridiplantae","-0.1756473","8.9200001","20764.5898","-1.2950820","Fagus"
208,"Viridiplantae","0.0049335","9.7700005","23262.4805","-0.6557692","Cynodon"
183,"Viridiplantae","-0.0461190","7.2800002","18493.5703","-0.9295082","Bromus"
170,"Viridiplantae","-0.2650308","10.2700005","18153.3809","-1.4088235","Bromus"
149,"Viridiplantae","-0.1269754","8.7100000","15358.9697","-1.1691275","Daucus"
222,"Viridiplantae","-0.0988161","9.2399998","22291.5098","-1.0707207","Hordeum"
222,"Viridiplantae","-0.0879433","9.2399998","22218.4492","-1.0355856","Hordeum"
225,"Viridiplantae","-0.0813071","8.6599998","22576.9297","-1.0288889","Hordeum"
112,"Viridiplantae","0.0649658","9.9600000","12343.5098","-0.4839286","Picea"
247,"Viridiplantae","-0.0833727","8.6599998","24751.6191","-1.0368421","Hordeum"
227,"Viridiplantae","-0.0885515","8.6599998","22863.2500","-1.0524229","Hordeum"
191,"Viridiplantae","-0.0709930","9.6300001","18985.5898","-0.9591623","Hordeum"
184,"Viridiplantae","-0.0587795","9.3500004","18231.6504","-0.9353261","Hordeum"
181,"Viridiplantae","-0.0739523","9.8299999","18096.5801","-0.9480663","Hordeum"
191,"Viridiplantae","-0.0695349","9.6300001","18971.6191","-0.9544503","Hordeum"
184,"Viridiplantae","-0.0601251","9.3500004","18241.6895","-0.9396739","Hordeum"
184,"Viridiplantae","-0.0702701","9.6300001","18341.8008","-0.9548913","Hordeum"
191,"Viridiplantae","-0.0656461","9.6300001","18999.6797","-0.9418848","Hordeum"
194,"Viridiplantae","-0.0484032","9.3500004","19173.9102","-0.9036082","Hordeum"
194,"Viridiplantae","-0.0434079","8.7100000","19114.7695","-0.9041237","Hordeum"
194,"Viridiplantae","-0.0444152","9.3500004","19143.8809","-0.8907216","Hordeum"
183,"Viridiplantae","-0.0632424","8.7100000","18232.6191","-0.9672131","Hordeum"
181,"Viridiplantae","-0.0903653","9.8299999","18074.4805","-1.0011050","Hordeum"
191,"Viridiplantae","-0.0708817","9.8299999","18998.6992","-0.9418848","Hordeum"
261,"Viridiplantae","-0.2685800","4.6100001","29362.0898","-1.3264368","Capsella"
185,"Viridiplantae","-0.1086447","6.4499998","19390.6797","-1.0616215","Arabidopsis"
111,"Bacteria","0.3896662","11.2399998","12956.2305","0.7990991","Marinomonas"
172,"Viridiplantae","-0.1312528","7.6199999","17783.7500","-1.2046512","Coffea"
175,"Viridiplantae","-0.1475512","8.6000004","18081.0898","-1.2388572","Coffea"
162,"Viridiplantae","-0.1526881","6.6500001","17403.2891","-1.2339506","Coffea"
162,"Viridiplantae","-0.1393167","6.5999999","17379.3008","-1.1907407","Coffea"
162,"Viridiplantae","-0.1572730","6.6500001","17447.3496","-1.2487653","Coffea"
417,"Fungi","0.0991044","5.2800002","47919.1914","-0.3904077","Botryotinia"
472,"Viridiplantae","-0.0120996","8.5799999","51898.0508","-0.7989407","Hordeum"
229,"Viridiplantae","-0.2328430","4.6199999","25898.3496","-1.2930131","Plantago"
138,"Fungi","0.0444391","9.8900003","14190.1299","-0.4963768","Aspergillus"
1509,"Fungi","-0.1342475","4.1100001","159774.8750","-0.8652087","Aspergillus"
150,"Viridiplantae","-0.1141921","9.8900003","15163.8203","-1.0633333","Aegilops"
149,"Viridiplantae","-0.1222515","10.0500002","15107.8398","-1.0671141","Triticum"
124,"Viridiplantae","-0.2471013","9.4300003","13241.4102","-1.5008065","Vitis"
130,"Viridiplantae","-0.2298627","9.7299995","13961.4102","-1.4238462","Vitis"
723,"Viridiplantae","0.3095081","9.8299999","82204.3516","0.3047026","Brassica"
678,"Viridiplantae","0.3128156","9.6199999","76856.3594","0.2971976","Brassica"
